booking_id,user_id,session_id,variant,hotel_id,booking_completed,booking_value,nights,guests,room_type,payment_success,cancellation_flag,booking_date
47,19902,942,A,471,yes,532.13,6,3,deluxe,yes,no,2026-05-06
48,15632,963,B,394,yes,762.07,3,4,suite,yes,no,2026-04-30
49,8675,964,B,482,yes,121.86,6,1,standard,yes,no,2026-05-01
50,19700,1008,B,413,yes,129.0,4,4,deluxe,yes,no,2026-05-05
51,1114,1022,A,129,yes,341.45,5,2,standard,yes,no,2026-05-15
52,11770,1044,B,222,yes,612.8,6,1,suite,yes,no,2026-04-25
53,9954,1065,A,108,yes,355.28,4,2,suite,yes,no,2026-04-25
54,19207,1087,B,58,yes,415.34,5,2,standard,yes,no,2026-04-26
55,13272,1088,A,376,yes,311.23,1,4,suite,yes,no,2026-05-06
56,9071,1092,A,301,yes,528.96,4,2,standard,yes,no,2026-04-28
57,13283,1103,B,349,yes,256.07,4,3,deluxe,yes,no,2026-04-25
58,18784,1109,A,384,yes,349.82,2,2,suite,yes,no,2026-05-11
59,17200,1157,B,159,yes,709.22,1,4,suite,yes,no,2026-05-04
60,1762,1160,B,309,yes,205.9,4,2,suite,yes,no,2026-05-11
61,15301,1229,B,369,yes,303.17,2,3,deluxe,yes,no,2026-04-25
62,3524,1236,A,320,yes,329.04,5,1,standard,yes,yes,2026-05-04
63,6840,1288,A,325,yes,748.08,5,2,suite,yes,no,2026-05-09
64,6467,1294,A,234,yes,546.24,4,1,suite,yes,no,2026-04-30
65,12626,1318,A,466,yes,228.43,4,1,deluxe,yes,no,2026-05-05
66,8585,1334,A,232,yes,243.28,3,4,standard,yes,no,2026-05-14
67,12783,1338,B,401,yes,452.58,4,4,suite,yes,no,2026-05-11
68,4088,1350,B,71,yes,682.88,3,2,deluxe,yes,no,2026-04-30
69,5451,1362,A,420,yes,497.94,1,3,suite,yes,yes,2026-04-26
70,4707,1384,B,147,yes,114.87,4,4,standard,yes,no,2026-05-03
71,22228,1391,B,212,yes,353.26,2,3,deluxe,yes,no,2026-05-08
72,4011,1415,B,431,yes,483.07,1,1,standard,yes,no,2026-05-13
73,8750,1466,B,174,yes,676.98,2,1,deluxe,yes,no,2026-05-07
74,8919,1489,A,441,yes,307.37,2,2,deluxe,yes,no,2026-05-06
75,17419,1491,B,38,yes,763.19,5,1,suite,yes,no,2026-05-02
76,21659,1535,A,454,yes,640.4,2,1,deluxe,yes,no,2026-04-25
77,24171,1553,A,127,yes,258.62,1,4,deluxe,yes,no,2026-05-11
78,20186,1561,B,324,yes,85.37,5,3,deluxe,yes,no,2026-05-05
79,2558,1597,A,399,yes,488.66,4,2,suite,yes,no,2026-04-26
80,3479,1605,B,178,yes,352.83,5,1,standard,yes,no,2026-05-13
81,15231,1647,B,198,yes,264.58,5,2,standard,yes,no,2026-05-09
82,23613,1696,A,407,yes,272.52,5,4,deluxe,yes,no,2026-05-07
83,1719,1697,A,434,yes,784.49,2,2,suite,yes,no,2026-05-02
84,8064,1708,A,451,yes,389.22,4,3,suite,yes,no,2026-05-15
85,12676,1723,A,161,yes,217.71,6,1,standard,yes,no,2026-05-11
86,1306,1725,B,9,yes,288.94,3,3,deluxe,yes,no,2026-05-08
87,13729,1752,A,176,yes,676.36,1,1,standard,yes,no,2026-05-12
88,13937,1793,A,408,yes,375.91,3,4,standard,yes,no,2026-05-05
89,4616,1795,B,437,yes,165.39,4,1,deluxe,yes,no,2026-05-01
90,23534,1848,A,100,yes,418.9,2,2,standard,yes,no,2026-05-06
91,137,1851,B,416,yes,178.69,6,2,standard,yes,no,2026-05-08
92,8543,1854,A,389,yes,679.04,1,3,standard,yes,no,2026-04-28
93,15532,1857,B,108,yes,612.24,5,1,deluxe,yes,no,2026-05-12
94,24490,1861,B,272,yes,148.29,6,1,suite,yes,no,2026-05-11
95,8075,1862,B,254,yes,360.91,6,1,deluxe,yes,no,2026-04-27
96,6943,1870,B,411,yes,140.87,5,4,deluxe,yes,no,2026-05-04
97,21271,1885,B,499,yes,267.79,4,4,suite,yes,no,2026-05-08
98,17960,1974,B,493,yes,86.07,3,1,deluxe,yes,no,2026-04-25
99,7636,1995,B,6,yes,132.75,6,2,suite,yes,no,2026-05-08
100,18854,2017,A,246,yes,395.16,6,2,suite,yes,no,2026-05-03
101,18125,2108,A,409,yes,202.32,6,3,deluxe,yes,no,2026-05-01
102,24042,2119,A,297,yes,90.58,2,4,suite,yes,no,2026-04-28
103,23876,2127,A,223,yes,279.94,4,1,suite,yes,yes,2026-05-05
104,9322,2137,B,23,yes,641.36,3,2,deluxe,yes,no,2026-04-30
105,8652,2140,A,375,yes,791.35,4,3,suite,yes,no,2026-05-13
106,997,2146,B,37,yes,89.15,4,4,suite,yes,no,2026-05-04
107,13750,2149,A,291,yes,774.15,4,4,suite,yes,no,2026-05-06
108,96,2168,B,422,yes,362.6,2,4,standard,yes,no,2026-05-12
109,13207,2177,B,272,yes,309.86,6,4,standard,yes,no,2026-05-14
110,5071,2216,B,399,yes,195.46,3,1,deluxe,yes,no,2026-05-10
111,13002,2222,A,89,yes,411.56,2,1,deluxe,yes,yes,2026-05-08
112,3292,2267,A,477,yes,553.35,2,3,deluxe,yes,no,2026-04-26
113,10631,2270,A,117,yes,309.34,6,3,standard,yes,no,2026-05-13
114,6568,2344,A,288,yes,497.27,5,2,standard,yes,no,2026-05-14
115,23794,2376,A,441,yes,434.91,5,2,deluxe,yes,no,2026-05-10
116,5962,2410,B,156,yes,257.11,1,1,deluxe,yes,no,2026-05-08
117,9393,2457,A,465,yes,148.98,3,3,suite,yes,no,2026-05-07
118,7697,2476,A,51,yes,161.52,6,2,standard,yes,no,2026-05-13
119,15282,2477,B,295,yes,428.94,6,4,deluxe,yes,no,2026-05-02
120,20842,2498,B,60,yes,574.39,5,4,deluxe,yes,no,2026-05-02
121,18996,2526,B,66,yes,126.82,1,4,suite,yes,no,2026-05-06
122,3344,2542,B,42,yes,302.3,4,3,deluxe,yes,no,2026-04-29
123,14268,2575,B,491,yes,496.62,6,4,suite,yes,no,2026-05-09
124,687,2581,B,250,yes,399.33,5,1,deluxe,yes,no,2026-05-11
125,17842,2593,A,334,yes,742.93,3,3,suite,yes,no,2026-04-25
126,16047,2597,A,8,yes,382.42,6,1,standard,yes,no,2026-05-13
127,100,2601,B,333,yes,509.77,4,3,deluxe,yes,no,2026-05-07
128,7848,2615,B,262,yes,775.35,5,4,standard,yes,no,2026-04-25
129,8817,2631,B,469,yes,758.9,2,4,standard,yes,no,2026-05-15
130,24446,2665,B,283,yes,566.69,6,3,suite,yes,no,2026-04-26
131,4940,2701,B,307,yes,461.12,5,1,deluxe,yes,no,2026-05-01
132,11378,2706,B,379,yes,317.58,1,3,suite,yes,no,2026-04-27
133,20605,2728,B,373,yes,424.29,4,4,standard,yes,no,2026-05-06
134,10065,2733,A,239,yes,432.35,3,3,suite,yes,no,2026-05-13
135,15377,2738,A,316,yes,378.34,1,3,suite,yes,no,2026-04-27
136,16009,2773,B,417,yes,106.3,5,1,suite,yes,no,2026-04-26
137,6833,2816,B,79,yes,156.71,1,2,standard,yes,no,2026-05-12
138,10981,2820,A,1,yes,685.88,5,2,deluxe,yes,no,2026-04-26
139,23797,2841,A,490,yes,431.4,3,4,suite,yes,no,2026-05-08
140,9372,2886,A,337,yes,324.83,2,2,standard,yes,no,2026-04-27
141,12823,2903,B,484,yes,434.63,1,4,deluxe,yes,no,2026-04-25
142,5773,2937,A,250,yes,330.48,6,4,suite,yes,no,2026-05-04
143,15271,2942,B,499,yes,649.47,3,2,suite,yes,no,2026-05-05
144,24846,2959,B,384,yes,528.29,3,2,suite,yes,no,2026-05-09
145,24946,2960,A,387,yes,550.08,4,2,deluxe,yes,no,2026-05-03
146,1882,2962,A,144,yes,213.0,6,3,deluxe,yes,no,2026-04-30
147,16794,2969,A,353,yes,622.29,1,3,deluxe,yes,no,2026-05-15
148,8478,2995,B,272,yes,787.39,4,1,suite,yes,no,2026-05-11
149,16856,3024,B,105,yes,307.92,5,4,suite,yes,no,2026-05-14
150,20378,3035,A,252,yes,324.66,3,3,suite,yes,no,2026-05-01
151,12250,3046,B,227,yes,222.86,5,1,standard,yes,no,2026-05-01
152,22778,3072,B,167,yes,520.43,2,1,suite,yes,no,2026-04-29
153,8411,3085,A,161,yes,613.59,1,2,standard,yes,no,2026-04-26
154,19586,3090,B,115,yes,640.2,3,3,standard,yes,no,2026-05-10
155,3362,3102,A,385,yes,564.22,3,3,standard,yes,no,2026-05-04
156,2042,3130,A,322,yes,403.62,1,3,standard,yes,no,2026-04-26
157,6168,3135,B,22,yes,159.22,4,1,suite,yes,no,2026-05-04
158,13598,3155,B,160,yes,246.55,3,2,deluxe,yes,yes,2026-04-26
159,16981,3156,B,115,yes,324.48,2,2,suite,yes,no,2026-04-28
160,509,3168,A,361,yes,555.2,3,4,standard,yes,no,2026-05-07
161,5562,3172,B,138,yes,241.75,6,2,deluxe,yes,no,2026-04-29
162,1022,3194,B,461,yes,137.32,2,4,suite,yes,no,2026-05-11
163,19251,3237,A,194,yes,384.38,2,3,standard,yes,no,2026-05-04
164,13386,3275,A,144,yes,723.56,5,2,standard,yes,no,2026-05-09
165,20958,3293,A,143,yes,794.32,6,2,suite,yes,no,2026-05-12
166,6719,3300,B,337,yes,652.64,2,3,standard,yes,no,2026-05-15
167,16059,3301,B,364,yes,90.75,2,2,standard,yes,no,2026-04-30
168,1648,3311,B,405,yes,541.24,5,3,standard,yes,no,2026-05-02
169,3543,3395,A,100,yes,382.32,3,4,standard,yes,yes,2026-05-09
170,19449,3403,B,116,yes,610.87,5,1,deluxe,yes,no,2026-04-30
171,22788,3423,A,242,yes,571.76,4,2,standard,yes,no,2026-05-11
172,8245,3433,A,216,yes,190.03,2,2,deluxe,yes,no,2026-05-02
173,6929,3442,A,312,yes,760.63,1,1,standard,yes,no,2026-05-07
174,9172,3482,B,85,yes,84.0,3,3,deluxe,yes,no,2026-05-09
175,12088,3483,B,375,yes,486.02,5,4,suite,yes,no,2026-04-26
176,15786,3484,B,200,yes,602.97,1,1,standard,yes,no,2026-05-12
177,16215,3486,B,457,yes,436.63,5,4,standard,yes,no,2026-05-11
178,14422,3501,B,465,yes,509.7,5,4,deluxe,yes,no,2026-05-12
179,14545,3506,A,414,yes,371.91,3,1,deluxe,yes,no,2026-04-28
180,1223,3507,A,45,yes,149.23,4,2,suite,yes,no,2026-05-02
181,160,3517,B,418,yes,335.53,4,2,standard,yes,no,2026-05-02
182,13909,3563,B,89,yes,393.44,4,1,suite,yes,yes,2026-05-09
183,1049,3575,A,428,yes,586.91,4,3,deluxe,yes,no,2026-05-10
184,21423,3579,B,113,yes,430.01,4,2,suite,yes,no,2026-05-12
185,9798,3606,B,378,yes,703.66,5,2,standard,yes,no,2026-05-03
186,16116,3610,B,404,yes,585.13,4,1,suite,yes,yes,2026-04-29
187,18239,3627,B,487,yes,583.78,4,4,standard,yes,no,2026-05-08
188,2031,3636,A,398,yes,472.64,2,4,deluxe,yes,no,2026-05-01
189,17643,3678,B,329,yes,389.09,2,1,deluxe,yes,no,2026-05-14
190,23373,3684,B,398,yes,644.99,3,1,deluxe,yes,yes,2026-05-04
191,10688,3704,B,25,yes,716.15,5,4,standard,yes,no,2026-05-06
192,5773,3716,A,429,yes,424.23,2,2,suite,yes,no,2026-04-25
193,281,3719,B,136,yes,472.01,6,2,standard,yes,no,2026-05-15
194,14985,3724,B,135,yes,437.74,1,4,suite,yes,no,2026-05-14
195,1693,3725,B,66,yes,695.53,3,2,deluxe,yes,no,2026-04-27
196,14950,3760,A,211,yes,150.67,3,4,suite,yes,no,2026-05-15
197,20989,3769,B,192,yes,149.85,3,2,suite,yes,no,2026-05-14
198,17087,3783,B,1,yes,743.6,5,2,deluxe,yes,no,2026-05-08
199,16955,3820,B,323,yes,396.53,1,4,deluxe,yes,no,2026-05-11
200,18863,3835,A,421,yes,346.36,6,1,deluxe,yes,no,2026-05-09
201,9987,3853,B,285,yes,98.48,4,2,deluxe,yes,no,2026-05-06
202,23812,3874,A,266,yes,167.79,6,2,standard,yes,no,2026-05-09
203,15809,3886,B,141,yes,191.15,5,4,deluxe,yes,no,2026-05-14
204,2797,3899,A,469,yes,735.64,5,4,standard,yes,no,2026-05-12
205,18332,3919,B,207,yes,232.27,6,3,deluxe,yes,yes,2026-05-15
206,14471,3950,A,163,yes,547.75,6,3,suite,yes,no,2026-04-29
207,24088,3962,A,451,yes,88.63,2,2,standard,yes,no,2026-05-03
208,20104,4010,A,466,yes,304.98,1,3,standard,yes,no,2026-04-29
209,2856,4011,B,161,yes,367.83,1,4,deluxe,yes,no,2026-05-05
210,3613,4020,A,86,yes,307.12,1,4,standard,yes,no,2026-05-15
211,1187,4035,B,484,yes,739.86,2,1,suite,yes,no,2026-05-05
212,46,4053,A,234,yes,260.94,3,4,standard,yes,no,2026-05-12
213,7870,4062,A,92,yes,732.85,3,1,suite,yes,no,2026-05-02
214,19971,4068,B,426,yes,606.91,3,4,deluxe,yes,no,2026-05-10
215,11156,4084,B,325,yes,577.27,6,1,standard,yes,no,2026-05-09
216,12236,4094,A,31,yes,216.04,6,4,deluxe,yes,no,2026-05-09
217,7370,4095,A,308,yes,408.41,2,4,deluxe,yes,no,2026-05-15
218,1385,4102,A,32,yes,80.27,6,2,deluxe,yes,no,2026-05-08
219,8046,4122,A,201,yes,716.26,6,2,suite,yes,no,2026-05-02
220,24462,4126,B,177,yes,428.23,1,1,deluxe,yes,no,2026-05-07
221,13134,4134,B,381,yes,416.72,6,1,standard,yes,no,2026-04-27
222,4061,4200,A,460,yes,186.58,2,2,suite,yes,no,2026-05-02
223,17794,4207,A,218,yes,636.39,1,4,suite,yes,no,2026-04-30
224,18709,4219,A,77,yes,528.81,3,4,suite,yes,no,2026-05-09
225,9272,4248,B,33,yes,548.51,3,3,suite,yes,no,2026-04-27
226,22596,4292,B,438,yes,219.64,3,3,suite,yes,no,2026-05-13
227,22703,4301,B,453,yes,94.63,5,2,deluxe,yes,yes,2026-04-30
228,5887,4311,A,495,yes,672.7,2,1,standard,yes,no,2026-04-25
229,17698,4323,B,221,yes,620.9,3,3,standard,yes,no,2026-05-13
230,8875,4358,B,458,yes,677.19,4,4,suite,yes,no,2026-05-03
231,10688,4361,B,295,yes,717.07,3,2,standard,yes,no,2026-05-15
232,10456,4364,B,264,yes,445.06,1,2,deluxe,yes,no,2026-05-14
233,4315,4372,B,26,yes,83.39,5,3,deluxe,yes,no,2026-05-11
234,10020,4398,B,499,yes,93.6,1,4,suite,yes,no,2026-05-02
235,1331,4421,B,490,yes,530.95,6,1,deluxe,yes,no,2026-05-07
236,13564,4428,B,481,yes,438.12,3,3,suite,yes,no,2026-05-05
237,19810,4491,A,390,yes,760.11,3,3,suite,yes,no,2026-05-01
238,11132,4501,B,373,yes,80.42,3,3,suite,yes,no,2026-04-25
239,1271,4518,B,108,yes,291.36,3,1,deluxe,yes,no,2026-05-05
240,19467,4520,B,133,yes,639.08,4,2,suite,yes,no,2026-04-30
241,3133,4595,B,165,yes,470.34,3,2,suite,yes,no,2026-05-09
242,1917,4626,B,314,yes,790.95,5,3,deluxe,yes,no,2026-05-07
243,779,4633,A,143,yes,545.35,4,3,standard,yes,no,2026-04-25
244,389,4719,B,127,yes,421.41,6,2,deluxe,yes,no,2026-05-05
245,17086,4726,A,120,yes,380.67,5,3,standard,yes,no,2026-05-04
246,19926,4811,B,20,yes,87.18,1,1,standard,yes,no,2026-05-09
247,5940,4845,A,353,yes,101.35,1,1,suite,yes,no,2026-05-12
248,8498,4926,B,432,yes,700.74,2,2,standard,yes,no,2026-05-06
249,1906,4969,B,299,yes,377.16,3,1,deluxe,yes,no,2026-05-12
250,7943,5021,A,71,yes,281.27,5,1,standard,yes,no,2026-05-13
251,8495,5028,B,403,yes,526.33,2,1,deluxe,yes,no,2026-04-25
252,20596,5049,A,356,yes,754.88,1,3,suite,yes,no,2026-05-14
253,15700,5067,A,99,yes,348.85,4,3,deluxe,yes,no,2026-05-07
254,196,5120,A,327,yes,401.81,4,1,deluxe,yes,no,2026-05-08
255,20463,5142,A,176,yes,504.43,4,3,deluxe,yes,no,2026-04-29
256,8440,5144,A,488,yes,604.71,3,4,standard,yes,no,2026-05-10
257,12728,5145,B,149,yes,650.13,3,3,deluxe,yes,no,2026-05-04
258,8651,5149,B,60,yes,697.78,6,4,deluxe,yes,no,2026-05-09
259,632,5162,B,229,yes,524.72,3,4,deluxe,yes,yes,2026-05-02
260,23207,5164,B,246,yes,560.77,6,2,suite,yes,no,2026-05-04
261,14236,5170,A,450,yes,729.12,1,4,deluxe,yes,no,2026-05-03
262,16222,5264,B,310,yes,285.78,2,1,deluxe,yes,no,2026-05-14
263,8223,5279,B,296,yes,454.07,1,2,suite,yes,no,2026-05-08
264,1669,5282,B,185,yes,698.09,3,4,deluxe,yes,no,2026-05-05
265,14980,5309,B,190,yes,611.97,3,1,standard,yes,no,2026-05-13
266,4998,5352,A,333,yes,651.41,1,3,deluxe,yes,no,2026-04-25
267,8346,5369,A,110,yes,588.81,2,3,suite,yes,no,2026-05-04
268,9810,5377,A,429,yes,381.9,4,1,deluxe,yes,no,2026-05-09
269,9878,5380,B,293,yes,405.39,2,1,deluxe,yes,no,2026-05-06
270,13699,5385,A,150,yes,667.28,6,1,suite,yes,no,2026-04-29
271,3370,5392,B,79,yes,576.76,1,3,suite,yes,no,2026-05-14
272,20500,5401,B,146,yes,728.0,1,2,suite,yes,no,2026-05-01
273,7728,5422,B,414,yes,379.19,4,2,suite,yes,no,2026-05-05
274,17052,5427,B,426,yes,80.02,2,3,standard,yes,no,2026-05-04
275,17090,5428,A,456,yes,338.1,2,2,suite,yes,no,2026-05-13
276,2496,5500,B,40,yes,159.42,5,4,standard,yes,no,2026-05-02
277,17996,5511,B,212,yes,586.18,3,4,standard,yes,no,2026-05-08
278,20664,5520,A,227,yes,335.82,4,1,suite,yes,no,2026-05-12
279,11046,5611,B,418,yes,696.81,1,1,standard,yes,yes,2026-05-14
280,11748,5628,A,299,yes,101.43,4,2,deluxe,yes,no,2026-05-04
281,7087,5635,B,115,yes,236.9,3,4,deluxe,yes,no,2026-05-07
282,12404,5641,B,464,yes,536.47,6,3,suite,yes,no,2026-05-09
283,11881,5665,A,184,yes,753.22,4,2,standard,yes,no,2026-05-09
284,9824,5701,B,433,yes,495.95,2,3,suite,yes,no,2026-05-07
285,24377,5712,A,279,yes,314.3,4,2,suite,yes,no,2026-05-14
286,11330,5724,B,230,yes,574.69,5,2,deluxe,yes,no,2026-05-06
287,9057,5728,A,33,yes,276.07,6,2,standard,yes,no,2026-04-26
288,16712,5729,A,302,yes,388.44,2,2,suite,yes,no,2026-04-25
289,2184,5730,B,395,yes,85.27,2,2,suite,yes,no,2026-05-07
290,12234,5740,A,435,yes,630.28,2,1,standard,yes,no,2026-05-04
291,5067,5764,A,208,yes,267.65,2,2,deluxe,yes,no,2026-05-07
292,21800,5777,B,137,yes,459.36,2,1,deluxe,yes,no,2026-04-28
293,9367,5802,A,367,yes,101.91,2,3,standard,yes,no,2026-05-14
294,3533,5804,B,271,yes,309.76,6,4,suite,yes,no,2026-05-02
295,11797,5841,B,36,yes,625.46,3,4,standard,yes,no,2026-05-04
296,8969,5845,A,145,yes,585.24,1,2,suite,yes,no,2026-05-01
297,9267,5881,B,454,yes,159.17,1,3,suite,yes,no,2026-05-05
298,22500,5916,B,268,yes,214.54,2,3,suite,yes,no,2026-04-25
299,6638,5932,A,346,yes,93.26,1,1,standard,yes,no,2026-04-25
300,22464,5941,A,133,yes,453.37,1,1,deluxe,yes,no,2026-04-28
301,13342,5942,A,379,yes,434.7,4,4,suite,yes,no,2026-04-26
302,22138,6026,B,9,yes,274.62,3,1,standard,yes,no,2026-05-15
303,15359,6035,A,121,yes,488.29,1,4,deluxe,yes,no,2026-05-04
304,20709,6078,A,63,yes,351.0,4,3,standard,yes,no,2026-04-26
305,8392,6098,B,362,yes,133.74,1,1,suite,yes,no,2026-05-04
306,11638,6117,A,495,yes,481.07,4,2,standard,yes,no,2026-04-30
307,22019,6127,A,225,yes,493.02,4,4,deluxe,yes,no,2026-04-26
308,21462,6133,B,65,yes,707.19,2,3,standard,yes,no,2026-05-09
309,22292,6143,A,23,yes,574.35,5,1,standard,yes,no,2026-04-27
310,20015,6146,B,332,yes,337.2,5,4,standard,yes,no,2026-05-14
311,16835,6178,B,35,yes,391.04,5,1,suite,yes,no,2026-05-12
312,9664,6258,B,466,yes,432.18,1,4,deluxe,yes,no,2026-05-15
313,19628,6262,A,485,yes,466.32,5,2,standard,yes,no,2026-05-08
314,17408,6386,A,120,yes,139.31,2,3,deluxe,yes,no,2026-05-01
315,3137,6396,A,429,yes,212.29,2,3,standard,yes,no,2026-04-28
316,14953,6399,B,181,yes,286.19,2,3,suite,yes,no,2026-05-08
317,20782,6445,B,14,yes,230.79,4,3,standard,yes,no,2026-05-02
318,22450,6457,A,341,yes,624.03,3,1,standard,yes,no,2026-05-03
319,18131,6463,A,297,yes,181.21,2,2,suite,yes,no,2026-05-08
320,18227,6468,B,304,yes,223.72,2,2,deluxe,yes,no,2026-05-04
321,16011,6486,A,29,yes,485.7,1,2,suite,yes,no,2026-05-08
322,8611,6502,B,391,yes,686.81,1,1,suite,yes,no,2026-05-12
323,2987,6515,B,116,yes,319.26,5,3,standard,yes,no,2026-04-25
324,4827,6538,B,229,yes,404.99,3,1,deluxe,yes,no,2026-05-02
325,11779,6539,B,221,yes,332.67,4,2,deluxe,yes,no,2026-05-01
326,22093,6543,A,110,yes,601.89,4,1,standard,yes,no,2026-05-01
327,18540,6544,A,127,yes,128.57,5,3,standard,yes,no,2026-04-27
328,9674,6546,A,138,yes,731.95,3,3,deluxe,yes,no,2026-05-08
329,8644,6580,A,339,yes,471.45,2,4,suite,yes,no,2026-05-10
330,21532,6581,B,198,yes,648.41,3,2,suite,yes,no,2026-05-13
331,7070,6589,A,325,yes,389.53,4,3,deluxe,yes,no,2026-04-28
332,4460,6618,A,70,yes,319.61,6,4,standard,yes,no,2026-05-09
333,13325,6642,B,441,yes,345.12,4,3,deluxe,yes,no,2026-04-29
334,7655,6673,A,117,yes,559.69,2,4,standard,yes,no,2026-05-12
335,18477,6691,B,377,yes,126.84,3,4,suite,yes,no,2026-04-27
336,21994,6700,B,492,yes,142.17,2,3,suite,yes,no,2026-05-08
337,18777,6703,A,83,yes,304.87,2,1,deluxe,yes,no,2026-05-12
338,18846,6765,B,49,yes,644.3,1,3,deluxe,yes,no,2026-04-28
339,16677,6773,B,124,yes,570.86,5,4,suite,yes,no,2026-05-01
340,4254,6781,A,481,yes,780.82,1,2,deluxe,yes,no,2026-05-12
341,21539,6788,B,28,yes,423.4,2,4,deluxe,yes,no,2026-04-26
342,16658,6802,B,413,yes,553.33,5,2,deluxe,yes,no,2026-04-25
343,5604,6803,B,135,yes,269.56,1,3,standard,yes,no,2026-04-28
344,21919,6827,B,90,yes,471.76,6,2,deluxe,yes,no,2026-04-29
345,13310,6865,A,399,yes,632.44,4,3,deluxe,yes,yes,2026-04-25
346,15824,6883,B,481,yes,610.05,1,3,standard,yes,no,2026-05-09
347,20099,6892,B,390,yes,107.05,6,2,deluxe,yes,no,2026-05-15
348,12913,6910,B,234,yes,494.71,4,3,deluxe,yes,no,2026-04-25
349,14231,6985,B,475,yes,404.54,4,2,deluxe,yes,no,2026-04-28
350,5201,7018,A,21,yes,525.9,4,1,suite,yes,no,2026-05-14
351,6015,7040,A,472,yes,676.43,4,1,deluxe,yes,no,2026-04-26
352,14441,7047,A,389,yes,170.84,3,1,deluxe,yes,no,2026-04-29
353,21395,7061,B,345,yes,334.26,1,2,deluxe,yes,no,2026-05-07
354,7910,7104,A,260,yes,743.1,2,2,standard,yes,no,2026-05-13
355,5688,7129,B,478,yes,652.32,2,2,suite,yes,no,2026-05-14
356,24623,7159,A,425,yes,619.94,5,3,standard,yes,no,2026-05-01
357,17380,7165,B,479,yes,793.14,2,4,standard,yes,no,2026-04-26
358,1381,7194,B,237,yes,604.88,4,2,standard,yes,no,2026-04-27
359,9275,7205,A,121,yes,567.69,6,1,standard,yes,no,2026-05-14
360,17971,7208,A,213,yes,556.12,6,3,suite,yes,no,2026-04-28
