user_id,age_group,gender,country,device,customer_type,acquisition_channel,loyalty_member,signup_date
61,45-54,non-binary,Germany,desktop,new,email,no,2025-05-11
62,55-64,male,UK,desktop,returning,direct,yes,2026-02-02
63,35-44,non-binary,Italy,mobile,new,direct,no,2025-10-20
64,65+,male,Spain,tablet,returning,paid search,no,2025-11-19
65,18-24,female,Germany,tablet,returning,organic search,no,2025-06-12
66,45-54,non-binary,France,mobile,new,email,no,2026-04-18
67,25-34,male,Germany,desktop,new,paid search,yes,2025-09-19
68,45-54,non-binary,US,desktop,new,email,yes,2025-05-25
69,25-34,male,US,desktop,returning,paid search,no,2025-11-25
70,65+,non-binary,US,tablet,new,organic search,no,2025-08-16
71,65+,female,Spain,mobile,returning,referral,yes,2026-03-13
72,65+,female,Germany,mobile,returning,paid search,yes,2025-12-25
73,25-34,male,Germany,desktop,returning,referral,yes,2025-12-21
74,45-54,male,France,tablet,returning,paid search,no,2026-04-03
75,65+,female,UK,mobile,new,direct,no,2026-03-25
76,55-64,non-binary,US,tablet,new,organic search,no,2025-09-12
77,25-34,male,UK,desktop,new,direct,no,2025-12-05
78,25-34,female,UK,desktop,returning,email,no,2025-07-08
79,45-54,male,US,mobile,returning,referral,yes,2026-01-23
80,25-34,female,US,desktop,new,email,no,2025-05-22
81,25-34,female,France,mobile,returning,referral,no,2025-05-12
82,65+,male,Spain,desktop,returning,referral,no,2026-01-06
83,45-54,male,US,mobile,new,organic search,yes,2025-07-22
84,65+,female,UK,desktop,returning,email,no,2026-02-19
85,65+,non-binary,France,desktop,new,direct,no,2025-08-15
86,45-54,female,Germany,tablet,returning,direct,no,2025-05-25
87,18-24,non-binary,France,tablet,new,referral,yes,2026-03-23
88,65+,non-binary,US,desktop,new,referral,yes,2025-07-24
89,55-64,non-binary,Italy,mobile,new,referral,no,2026-03-27
90,55-64,male,US,desktop,returning,email,yes,2025-06-03
91,25-34,female,Spain,tablet,new,email,no,2025-09-19
92,55-64,female,France,mobile,returning,paid search,yes,2025-08-10
93,25-34,non-binary,US,desktop,returning,direct,no,2025-10-18
94,18-24,non-binary,UK,desktop,new,referral,no,2025-12-27
95,45-54,non-binary,UK,tablet,new,email,no,2026-03-14
96,45-54,female,France,mobile,returning,paid search,yes,2025-09-13
97,45-54,non-binary,Spain,mobile,new,referral,no,2025-06-27
98,55-64,female,Italy,mobile,new,direct,yes,2025-09-15
99,18-24,female,France,desktop,new,email,yes,2025-09-09
100,55-64,male,Spain,tablet,returning,referral,yes,2025-07-15
101,55-64,non-binary,UK,desktop,returning,organic search,no,2026-01-10
102,18-24,non-binary,US,tablet,new,organic search,yes,2025-08-06
103,18-24,non-binary,Germany,tablet,returning,direct,yes,2026-01-22
104,18-24,male,US,mobile,new,paid search,no,2026-04-23
105,18-24,non-binary,UK,desktop,new,paid search,yes,2026-01-15
106,45-54,female,Italy,mobile,new,organic search,yes,2026-01-01
107,35-44,non-binary,UK,tablet,new,direct,yes,2025-05-22
108,35-44,female,US,tablet,returning,organic search,yes,2025-12-17
109,18-24,female,US,mobile,new,referral,yes,2025-12-27
110,35-44,female,Italy,mobile,returning,email,no,2025-06-30
111,35-44,female,Italy,tablet,new,paid search,yes,2025-11-18
112,18-24,non-binary,UK,desktop,returning,email,yes,2026-02-02
113,35-44,male,US,mobile,new,direct,no,2025-07-29
114,55-64,male,Germany,desktop,returning,direct,yes,2025-06-27
115,25-34,female,Germany,tablet,returning,organic search,no,2025-10-21
116,25-34,non-binary,France,mobile,new,direct,yes,2025-09-19
117,18-24,male,Germany,mobile,new,email,no,2025-08-07
118,45-54,non-binary,UK,tablet,returning,paid search,yes,2026-04-19
119,18-24,male,UK,mobile,new,organic search,yes,2025-12-29
120,45-54,female,France,mobile,returning,direct,yes,2026-01-17
121,25-34,female,Spain,desktop,new,referral,no,2025-11-27
122,18-24,female,France,mobile,new,direct,yes,2025-07-19
123,65+,male,Spain,desktop,new,paid search,yes,2026-01-15
124,55-64,non-binary,Spain,mobile,new,organic search,no,2025-08-28
125,35-44,female,US,mobile,new,paid search,no,2026-03-18
126,45-54,non-binary,Italy,tablet,new,email,yes,2026-02-17
127,65+,non-binary,Germany,tablet,returning,email,yes,2026-02-20
128,35-44,female,Spain,mobile,returning,direct,yes,2025-05-16
129,35-44,male,US,desktop,returning,referral,no,2025-07-22
130,18-24,female,France,tablet,returning,referral,no,2026-03-10
131,35-44,female,France,tablet,returning,organic search,yes,2025-05-07
132,55-64,male,Spain,tablet,new,direct,yes,2026-03-03
133,65+,non-binary,US,mobile,new,paid search,no,2025-08-25
134,35-44,male,UK,desktop,returning,direct,no,2025-09-27
135,18-24,male,Italy,desktop,new,referral,yes,2025-08-06
136,55-64,female,Italy,mobile,returning,paid search,yes,2025-05-20
137,25-34,male,Germany,tablet,new,paid search,yes,2025-07-15
138,65+,male,Spain,desktop,returning,referral,yes,2026-04-14
139,35-44,male,UK,desktop,returning,organic search,no,2025-12-01
140,18-24,non-binary,Germany,mobile,returning,direct,no,2026-03-31
141,25-34,non-binary,UK,desktop,new,referral,yes,2026-01-28
142,25-34,female,Italy,desktop,new,direct,no,2025-08-25
143,45-54,female,US,tablet,returning,direct,yes,2025-07-16
144,55-64,non-binary,Spain,tablet,returning,organic search,yes,2026-01-04
145,35-44,male,UK,tablet,new,paid search,no,2025-11-04
146,18-24,female,UK,desktop,new,referral,yes,2025-09-25
147,45-54,female,UK,tablet,returning,paid search,no,2026-04-03
148,55-64,male,Italy,mobile,new,email,no,2026-04-15
149,45-54,male,Spain,tablet,new,referral,no,2025-12-30
150,65+,male,US,tablet,returning,direct,yes,2025-10-20
151,55-64,male,US,desktop,new,referral,yes,2025-06-19
152,55-64,male,UK,tablet,returning,paid search,yes,2025-08-05
153,35-44,non-binary,US,mobile,returning,email,yes,2025-06-18
154,55-64,male,Germany,tablet,new,organic search,no,2025-07-29
155,45-54,female,US,tablet,returning,referral,yes,2026-02-08
156,55-64,non-binary,UK,mobile,new,organic search,yes,2025-11-29
157,35-44,female,Germany,mobile,new,email,yes,2025-11-20
158,35-44,male,Spain,tablet,new,paid search,yes,2025-08-05
159,65+,female,France,desktop,new,email,no,2026-02-09
160,45-54,male,Italy,mobile,new,referral,yes,2025-12-08
161,25-34,female,US,mobile,returning,direct,no,2025-10-08
162,25-34,female,Germany,desktop,new,paid search,yes,2026-04-08
163,55-64,male,France,mobile,returning,referral,no,2025-12-07
164,65+,female,Spain,mobile,returning,paid search,yes,2025-09-27
165,18-24,non-binary,France,desktop,returning,paid search,no,2025-09-12
166,55-64,female,Spain,tablet,returning,referral,yes,2025-07-19
167,65+,non-binary,UK,desktop,new,direct,yes,2025-06-17
168,45-54,non-binary,UK,tablet,returning,direct,no,2025-11-08
169,45-54,female,Italy,mobile,new,referral,no,2025-11-02
170,45-54,non-binary,Italy,mobile,returning,paid search,no,2025-05-30
171,45-54,non-binary,Spain,tablet,returning,paid search,no,2026-02-12
172,45-54,female,France,desktop,new,referral,no,2025-05-13
173,65+,male,Italy,mobile,new,referral,yes,2026-03-25
174,65+,male,US,desktop,new,email,yes,2025-06-06
175,35-44,non-binary,France,tablet,returning,direct,yes,2025-06-23
176,25-34,non-binary,Italy,tablet,new,paid search,no,2025-12-24
177,45-54,male,France,tablet,new,paid search,yes,2025-06-26
178,18-24,non-binary,US,desktop,new,paid search,yes,2026-02-26
179,65+,male,France,desktop,returning,paid search,no,2026-01-14
180,18-24,female,France,tablet,returning,referral,yes,2025-10-05
181,18-24,non-binary,Germany,mobile,returning,direct,yes,2025-12-12
182,18-24,female,Spain,tablet,new,email,yes,2025-05-19
183,35-44,male,UK,mobile,returning,referral,no,2025-09-21
184,65+,male,Italy,mobile,returning,paid search,yes,2025-09-20
185,18-24,female,Italy,mobile,new,direct,no,2025-12-12
186,45-54,non-binary,Italy,desktop,new,direct,no,2025-10-23
187,55-64,female,Spain,mobile,new,organic search,yes,2025-11-16
188,18-24,female,France,mobile,new,referral,no,2025-07-31
189,35-44,non-binary,US,tablet,returning,direct,yes,2025-11-25
190,65+,male,US,mobile,new,referral,no,2026-03-25
191,35-44,female,UK,mobile,new,direct,yes,2025-04-29
192,18-24,female,UK,tablet,new,direct,no,2026-01-14
193,65+,male,UK,desktop,returning,email,no,2026-01-29
194,55-64,female,US,mobile,returning,organic search,yes,2025-06-08
195,18-24,male,France,desktop,new,referral,yes,2026-01-14
196,35-44,non-binary,UK,tablet,new,paid search,yes,2026-04-03
197,25-34,male,UK,desktop,returning,email,yes,2025-11-19
198,45-54,male,US,mobile,new,paid search,yes,2026-02-10
199,35-44,female,Italy,desktop,new,email,yes,2025-08-06
200,65+,male,France,desktop,new,direct,yes,2026-02-17
201,18-24,male,UK,tablet,new,organic search,yes,2025-12-29
202,45-54,female,France,tablet,new,referral,yes,2025-09-04
203,18-24,male,Germany,tablet,returning,direct,no,2025-06-07
204,65+,female,Italy,tablet,returning,paid search,yes,2025-08-16
205,18-24,non-binary,Italy,tablet,returning,organic search,yes,2025-10-10
206,25-34,male,UK,tablet,returning,paid search,no,2025-06-25
207,45-54,non-binary,UK,tablet,new,referral,no,2025-10-18
208,45-54,male,US,tablet,returning,paid search,no,2025-04-26
209,65+,male,Italy,desktop,returning,organic search,yes,2026-01-30
210,25-34,non-binary,Germany,tablet,returning,referral,no,2026-03-31
211,35-44,non-binary,Germany,desktop,new,direct,yes,2026-01-29
212,18-24,female,Germany,mobile,returning,direct,no,2025-08-05
213,55-64,female,Spain,tablet,new,organic search,yes,2025-11-05
214,18-24,non-binary,US,mobile,new,organic search,no,2026-02-14
215,18-24,male,US,tablet,returning,organic search,yes,2025-07-03
216,35-44,female,UK,mobile,returning,paid search,no,2025-11-08
217,18-24,male,US,desktop,new,direct,yes,2026-04-14
218,25-34,female,UK,tablet,returning,direct,yes,2025-06-05
219,25-34,female,UK,desktop,returning,direct,yes,2026-03-29
220,45-54,female,Spain,mobile,new,referral,yes,2025-12-23
221,65+,non-binary,US,desktop,returning,email,yes,2025-08-18
222,55-64,male,US,tablet,returning,organic search,no,2026-03-17
223,18-24,non-binary,Spain,desktop,new,referral,yes,2025-12-29
224,18-24,female,Spain,desktop,returning,email,yes,2025-11-08
225,35-44,non-binary,US,mobile,returning,organic search,yes,2025-12-17
226,65+,non-binary,US,mobile,returning,email,yes,2025-07-11
227,25-34,non-binary,UK,tablet,returning,direct,yes,2025-06-23
228,55-64,male,France,mobile,new,email,no,2025-09-17
229,45-54,non-binary,Italy,desktop,new,organic search,no,2026-02-15
230,25-34,non-binary,UK,mobile,returning,referral,no,2025-06-26
231,65+,non-binary,Germany,tablet,returning,organic search,yes,2025-11-20
232,45-54,non-binary,Germany,mobile,new,email,yes,2026-02-21
233,35-44,non-binary,France,tablet,returning,email,yes,2026-04-18
234,35-44,non-binary,Italy,tablet,returning,organic search,no,2025-11-16
235,18-24,non-binary,Spain,desktop,returning,direct,no,2026-04-16
236,65+,female,Germany,desktop,returning,organic search,yes,2025-04-25
237,55-64,non-binary,Spain,desktop,returning,organic search,yes,2025-12-13
238,45-54,non-binary,Spain,tablet,returning,email,yes,2025-08-28
239,25-34,male,UK,mobile,new,paid search,no,2025-10-31
240,65+,female,Spain,mobile,returning,email,yes,2025-05-02
241,65+,non-binary,France,tablet,new,email,yes,2025-06-07
242,35-44,male,UK,tablet,returning,email,no,2026-04-20
243,18-24,non-binary,France,mobile,new,email,no,2025-09-12
244,18-24,non-binary,Spain,mobile,returning,direct,yes,2026-04-01
245,45-54,non-binary,Germany,tablet,new,referral,yes,2026-03-13
246,35-44,non-binary,Italy,mobile,returning,organic search,yes,2026-03-04
247,65+,non-binary,Spain,mobile,returning,organic search,yes,2025-08-22
248,55-64,male,France,tablet,returning,paid search,yes,2025-07-26
249,35-44,non-binary,US,tablet,returning,direct,yes,2025-05-17
250,45-54,male,US,desktop,returning,paid search,yes,2025-07-27
251,45-54,non-binary,Germany,desktop,new,organic search,yes,2026-03-31
252,35-44,male,Italy,mobile,returning,paid search,no,2025-12-01
253,45-54,female,France,tablet,new,email,yes,2025-05-25
254,35-44,non-binary,Germany,mobile,returning,email,yes,2025-05-28
255,25-34,female,UK,tablet,returning,organic search,no,2026-02-03
256,35-44,female,Spain,mobile,new,paid search,yes,2025-10-30
257,35-44,female,UK,mobile,returning,email,yes,2026-03-07
258,45-54,non-binary,US,tablet,new,direct,yes,2025-05-21
259,45-54,female,Spain,desktop,new,direct,yes,2026-02-14
260,18-24,male,UK,desktop,returning,organic search,no,2025-11-17
261,18-24,non-binary,US,tablet,new,referral,yes,2026-02-16
262,25-34,female,Italy,mobile,new,referral,no,2025-06-12
263,18-24,non-binary,UK,mobile,new,paid search,no,2025-06-13
264,35-44,female,Spain,mobile,new,organic search,no,2026-01-06
265,45-54,male,UK,tablet,returning,organic search,yes,2025-10-26
266,18-24,non-binary,Spain,desktop,returning,email,yes,2025-11-24
267,18-24,non-binary,UK,tablet,returning,email,yes,2025-06-28
268,25-34,female,Germany,desktop,new,direct,yes,2025-08-05
269,65+,male,Italy,desktop,new,direct,no,2025-11-15
270,25-34,non-binary,UK,tablet,returning,organic search,yes,2026-03-29
271,35-44,female,UK,desktop,returning,email,yes,2025-12-16
272,45-54,male,Germany,desktop,new,email,no,2025-10-06
273,25-34,male,US,desktop,returning,organic search,yes,2025-07-16
274,18-24,male,Spain,mobile,new,direct,no,2026-04-20
275,45-54,male,France,tablet,returning,email,no,2025-11-20
276,45-54,non-binary,US,mobile,returning,referral,yes,2026-02-12
277,18-24,non-binary,Spain,tablet,returning,paid search,no,2026-02-02
278,25-34,male,UK,mobile,returning,direct,no,2026-01-17
279,18-24,female,US,desktop,new,referral,no,2025-07-12
280,65+,female,UK,mobile,new,organic search,no,2026-01-26
281,45-54,male,US,mobile,returning,organic search,yes,2025-08-24
282,55-64,male,US,tablet,new,paid search,yes,2025-09-26
283,55-64,female,France,tablet,new,email,yes,2026-01-10
284,35-44,male,Germany,mobile,new,referral,yes,2026-01-02
285,18-24,male,US,tablet,new,email,yes,2025-09-17
286,18-24,non-binary,UK,desktop,returning,referral,yes,2025-10-12
287,35-44,non-binary,France,desktop,new,organic search,no,2026-04-09
288,35-44,male,US,desktop,returning,organic search,no,2025-11-12
289,35-44,male,Germany,tablet,returning,email,yes,2025-10-17
290,45-54,non-binary,UK,tablet,new,email,yes,2025-06-10
291,65+,male,France,mobile,returning,referral,no,2025-07-30
292,18-24,non-binary,Spain,tablet,returning,paid search,no,2025-07-21
293,45-54,non-binary,Italy,mobile,returning,organic search,no,2025-05-19
294,35-44,female,Germany,tablet,returning,referral,yes,2025-09-03
295,18-24,non-binary,Spain,tablet,new,direct,yes,2025-05-03
296,45-54,female,Spain,mobile,returning,email,no,2025-12-09
297,65+,female,France,desktop,new,organic search,yes,2025-11-26
298,45-54,non-binary,France,tablet,new,paid search,no,2025-07-23
299,65+,male,France,mobile,returning,paid search,yes,2025-12-09
300,35-44,non-binary,Spain,tablet,returning,direct,yes,2025-07-19
301,65+,female,Italy,tablet,new,email,yes,2025-04-27
302,18-24,non-binary,UK,tablet,new,email,yes,2025-05-22
303,35-44,non-binary,France,tablet,returning,referral,yes,2026-01-24
304,18-24,female,Germany,tablet,new,direct,yes,2025-12-26
305,55-64,non-binary,France,mobile,returning,paid search,yes,2025-05-17
306,25-34,non-binary,Italy,tablet,new,paid search,yes,2025-07-22
307,65+,female,France,mobile,new,direct,yes,2025-05-21
308,25-34,male,Italy,mobile,returning,direct,no,2026-04-11
309,25-34,female,France,desktop,new,paid search,no,2025-05-07
310,65+,female,Spain,mobile,new,direct,no,2026-03-24
311,35-44,non-binary,Italy,mobile,new,direct,no,2025-08-31
312,55-64,female,UK,desktop,returning,email,no,2025-05-22
313,18-24,non-binary,France,tablet,returning,direct,yes,2025-11-10
314,45-54,non-binary,Spain,desktop,new,paid search,yes,2025-07-26
315,18-24,non-binary,Germany,tablet,new,organic search,no,2025-08-11
316,45-54,female,UK,tablet,new,paid search,no,2026-01-09
317,18-24,female,Spain,mobile,returning,email,yes,2025-10-30
318,65+,non-binary,Italy,tablet,new,direct,no,2025-07-17
319,55-64,male,US,desktop,returning,paid search,yes,2025-11-20
320,45-54,male,Germany,desktop,new,referral,no,2025-06-15
321,35-44,female,Germany,tablet,returning,organic search,no,2026-01-30
322,18-24,non-binary,US,desktop,returning,paid search,yes,2026-04-23
323,18-24,non-binary,Spain,desktop,returning,direct,no,2026-04-02
324,45-54,female,Spain,mobile,new,email,no,2025-12-02
325,35-44,male,Italy,mobile,returning,organic search,no,2025-12-04
326,35-44,female,Germany,mobile,new,referral,yes,2025-10-25
327,65+,female,Spain,tablet,new,referral,no,2025-07-28
328,65+,non-binary,US,mobile,new,direct,yes,2026-02-23
329,65+,female,Spain,desktop,new,referral,yes,2025-10-25
330,65+,male,Germany,mobile,returning,organic search,yes,2026-03-04
331,65+,female,Spain,desktop,returning,referral,no,2025-09-30
332,65+,non-binary,UK,mobile,returning,direct,yes,2025-07-07
333,55-64,male,US,desktop,returning,referral,yes,2025-05-31
334,35-44,non-binary,US,mobile,new,email,no,2025-06-01
335,65+,female,France,mobile,returning,organic search,yes,2026-01-05
336,35-44,female,Spain,mobile,returning,direct,no,2025-10-09
337,35-44,female,Italy,mobile,new,direct,no,2025-09-09
338,25-34,non-binary,US,desktop,new,email,no,2025-10-06
339,55-64,female,Spain,mobile,new,direct,no,2025-10-01
340,65+,male,UK,tablet,new,paid search,yes,2025-10-23
341,18-24,male,Germany,mobile,new,direct,no,2026-03-26
342,45-54,non-binary,Germany,mobile,returning,referral,yes,2026-02-02
343,18-24,non-binary,France,tablet,new,direct,no,2025-05-16
344,55-64,non-binary,France,desktop,returning,organic search,no,2026-01-11
345,45-54,female,Italy,tablet,new,direct,yes,2026-01-03
346,55-64,male,US,desktop,returning,organic search,yes,2025-12-31
347,35-44,male,Italy,tablet,new,email,yes,2025-06-02
348,45-54,male,US,tablet,returning,paid search,no,2025-05-18
349,35-44,non-binary,US,tablet,returning,referral,no,2025-09-28
350,18-24,non-binary,UK,desktop,new,paid search,no,2026-02-01
351,18-24,female,France,mobile,new,paid search,yes,2025-09-03
352,45-54,non-binary,France,mobile,returning,email,yes,2026-03-01
353,45-54,male,Germany,tablet,new,direct,no,2026-03-25
354,65+,female,France,desktop,new,paid search,yes,2025-06-06
355,55-64,non-binary,France,desktop,returning,referral,no,2025-07-30
356,65+,non-binary,UK,mobile,returning,organic search,yes,2025-07-08
357,55-64,male,Italy,desktop,new,email,no,2025-07-07
358,65+,female,US,desktop,returning,email,yes,2025-11-19
359,35-44,non-binary,Italy,tablet,returning,paid search,yes,2025-10-16
360,45-54,non-binary,UK,desktop,new,direct,yes,2025-06-18
361,18-24,female,Spain,desktop,new,paid search,no,2025-10-05
362,55-64,female,Germany,tablet,new,organic search,no,2025-07-05
363,55-64,non-binary,Germany,mobile,new,paid search,no,2025-08-11
364,18-24,non-binary,Germany,mobile,new,direct,no,2025-10-21
365,65+,male,Italy,desktop,new,email,no,2025-07-31
366,55-64,female,US,tablet,new,referral,no,2026-03-30
367,35-44,non-binary,US,mobile,new,email,no,2026-04-18
368,45-54,non-binary,US,desktop,new,direct,no,2025-05-24
369,18-24,non-binary,Germany,mobile,returning,email,no,2025-10-14
370,45-54,non-binary,Germany,desktop,returning,paid search,no,2026-03-04
371,55-64,male,Italy,mobile,returning,paid search,no,2026-03-25
372,55-64,female,Italy,tablet,new,paid search,yes,2026-03-23
373,18-24,non-binary,Germany,tablet,returning,paid search,yes,2025-11-24
374,35-44,female,Spain,mobile,returning,direct,yes,2025-06-02
375,25-34,female,Spain,tablet,new,organic search,yes,2025-05-14
376,18-24,non-binary,Italy,mobile,new,paid search,no,2026-01-03
377,25-34,non-binary,Germany,mobile,returning,email,no,2025-11-20
378,65+,non-binary,US,tablet,new,direct,yes,2026-03-15
379,25-34,male,US,desktop,new,direct,yes,2025-04-30
380,35-44,non-binary,Spain,tablet,returning,referral,no,2025-05-31
381,65+,female,Spain,desktop,new,paid search,yes,2026-04-19
382,25-34,female,Germany,desktop,returning,email,yes,2026-02-11
383,65+,male,Germany,desktop,returning,organic search,yes,2026-03-20
384,25-34,non-binary,US,mobile,new,organic search,yes,2025-07-25
385,35-44,non-binary,Italy,desktop,new,email,yes,2025-06-28
386,25-34,male,France,desktop,returning,direct,no,2025-09-29
387,25-34,male,Italy,tablet,returning,email,yes,2025-10-30
388,25-34,non-binary,US,mobile,new,referral,no,2025-10-28
389,18-24,non-binary,Italy,mobile,returning,direct,yes,2025-07-17
390,18-24,female,US,desktop,new,referral,yes,2026-03-26
391,18-24,non-binary,Germany,tablet,returning,organic search,yes,2025-09-27
392,35-44,non-binary,France,desktop,new,paid search,yes,2026-04-10
393,65+,female,France,mobile,returning,referral,yes,2025-05-17
394,55-64,female,Germany,tablet,new,email,yes,2025-06-27
395,25-34,female,UK,mobile,new,paid search,no,2025-09-19
396,25-34,female,Germany,mobile,new,organic search,no,2025-04-25
397,35-44,male,Spain,mobile,returning,email,yes,2025-09-23
398,25-34,female,Italy,mobile,new,referral,no,2025-08-05
399,18-24,male,France,mobile,returning,email,no,2026-04-19
400,55-64,female,Germany,tablet,returning,paid search,yes,2026-02-23
401,45-54,female,US,tablet,new,email,yes,2026-02-23
402,25-34,female,US,mobile,new,referral,yes,2025-10-18
403,18-24,non-binary,Italy,desktop,returning,direct,yes,2025-08-13
404,45-54,male,US,desktop,returning,organic search,yes,2025-10-06
405,55-64,female,Germany,mobile,returning,organic search,yes,2026-01-20
406,45-54,non-binary,UK,tablet,returning,paid search,yes,2026-02-02
407,18-24,male,Spain,desktop,new,email,no,2026-02-23
408,65+,male,US,tablet,returning,email,no,2025-11-26
409,65+,non-binary,Germany,tablet,new,referral,no,2026-01-07
410,45-54,male,UK,desktop,new,organic search,no,2026-01-29
411,35-44,non-binary,France,desktop,returning,organic search,no,2025-10-31
412,45-54,female,France,tablet,returning,paid search,yes,2025-06-24
413,25-34,non-binary,Italy,desktop,returning,organic search,no,2025-07-07
414,25-34,male,Spain,mobile,returning,referral,yes,2025-08-18
415,65+,male,Germany,desktop,returning,referral,yes,2025-07-18
416,35-44,female,Germany,tablet,returning,organic search,yes,2025-05-17
417,18-24,non-binary,US,tablet,new,paid search,no,2025-12-05
418,25-34,female,UK,tablet,new,referral,no,2026-02-04
419,65+,non-binary,Spain,tablet,returning,paid search,yes,2025-11-21
420,55-64,non-binary,UK,tablet,returning,email,no,2025-05-18
421,65+,non-binary,Spain,tablet,returning,organic search,yes,2026-02-09
422,25-34,female,Germany,mobile,returning,email,yes,2025-08-24
423,25-34,female,Germany,tablet,returning,email,yes,2025-05-17
424,65+,male,Spain,tablet,new,organic search,no,2025-05-14
425,18-24,female,UK,mobile,new,email,yes,2025-12-07
426,45-54,non-binary,Italy,tablet,new,organic search,no,2025-10-27
427,25-34,non-binary,France,tablet,returning,paid search,yes,2025-11-06
428,65+,non-binary,France,mobile,returning,email,yes,2026-04-17
429,65+,female,US,desktop,returning,email,no,2026-03-22
430,35-44,male,US,desktop,new,referral,yes,2025-11-17
431,45-54,female,Italy,tablet,returning,email,no,2025-06-25
432,55-64,male,UK,desktop,returning,direct,yes,2025-05-17
433,18-24,female,Italy,desktop,new,email,yes,2025-11-08
434,55-64,non-binary,Germany,mobile,returning,email,yes,2025-05-26
435,45-54,male,UK,desktop,new,referral,yes,2026-03-21
436,45-54,female,Spain,tablet,new,direct,yes,2025-07-06
437,45-54,non-binary,France,mobile,returning,paid search,yes,2025-05-21
438,55-64,male,US,desktop,returning,organic search,no,2025-12-12
439,45-54,male,UK,tablet,returning,email,no,2025-05-21
440,65+,non-binary,UK,mobile,new,paid search,yes,2026-01-12
441,55-64,non-binary,Spain,tablet,new,paid search,yes,2026-03-25
442,45-54,female,Germany,desktop,new,organic search,no,2025-07-25
443,65+,female,Germany,tablet,returning,organic search,yes,2025-09-28
444,35-44,non-binary,France,desktop,new,paid search,yes,2025-06-10
